"0","#Funcoes para estimar os envelopes das funcoes F, G e K"
"0","#Kest=envelope(aNYppp,Kest,nsim=10) #alto custo computacional"
"0","par(mfrow=c(2,2))"
"0","hburglary_ppp.Gest=envelope(hburglary_ppp,fun = Gest,nsim=20)"
"1","Generating"
"1"," "
"1","20"
"1"," "
"1","simulations"
"1"," "
"1","of"
"1"," "
"1","CSR"
"1"," "
"1"," "
"1","..."
"1","
"
"1","1, "
"1","2, "
"1","3, "
"1","4, "
"1","5, "
"1","6, "
"1","7, "
"1","8, "
"1","9, "
"1","10, "
"1","11, "
"1","12, "
"1","13, "
"1","14, "
"1","15, "
"1","16, "
"1","17, "
"1","18, "
"1","19, "
"1"," 20.
"
"1","
Done.
"
"0","hburglary_ppp.Fest=envelope(hburglary_ppp,fun = Fest, nsim=10)"
"1","Generating"
"1"," "
"1","10"
"1"," "
"1","simulations"
"1"," "
"1","of"
"1"," "
"1","CSR"
"1"," "
"1"," "
"1","..."
"1","
"
"1","1, "
"1","2, "
"1","3, "
"1","4, "
"1","5, "
"1","6, "
"1","7, "
"1","8, "
"1","9, "
"1"," 10.
"
"1","
Done.
"
"0","plot(hburglary_ppp, pch=21, cex=0.9, bg=""blue"")"
